"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Anaheim Ducks","209","12702.3833","81","100","28","71","190","0.455","11220","12297","47.71","8446","9421","47.27","5880","6725","46.65","502","650","43.58","511.64","618.01","45.29","5332","6237","46.09","3142","3876","44.77","418","548","43.27","13.30","85.86","2180","2644","45.19","1553","1972","44.06","278","357","43.78","17.90","81.90","3152","3593","46.73","1589","1904","45.49","140","191","42.30","8.81","89.97","4927","5189","48.71","2382","2579","48.01","76","84","47.50","3.19","96.74","8.54","90.33","0.989"
"2","Arizona Coyotes","208","12639.7","96","90","22","84","214","0.514","11568","12141","48.79","8708","9125","48.83","6279","6504","49.12","549","577","48.76","541.63","568.77","48.78","5287","5757","47.87","3192","3393","48.47","433","481","47.37","13.57","85.82","2216","2427","47.73","1595","1732","47.94","252","329","43.37","15.80","81.00","3071","3330","47.98","1597","1661","49.02","181","152","54.35","11.33","90.85","5239","5386","49.31","2676","2760","49.23","100","76","56.82","3.74","97.25","8.74","91.13","0.999"
"3","Boston Bruins","208","12654.6667","126","54","28","120","280","0.673","12057","10979","52.34","9345","8380","52.72","6793","6035","52.95","648","513","55.81","555.4","496.6","52.79","5525","5135","51.83","3463","3152","52.35","512","406","55.77","14.78","87.12","2152","2044","51.29","1641","1566","51.17","339","268","55.85","20.66","82.89","3373","3091","52.18","1822","1586","53.46","173","138","55.63","9.50","91.30","5651","5065","52.73","2931","2514","53.83","122","96","55.96","4.16","96.18","9.54","91.50","1.010"
"4","Buffalo Sabres","207","12598.8167","78","104","25","67","181","0.437","11052","11516","48.97","8628","9114","48.63","6311","6742","48.35","548","679","44.66","502.84","566.32","47.03","5072","5394","48.46","3115","3468","47.32","432","555","43.77","13.87","84.00","2109","2309","47.74","1580","1771","47.15","274","362","43.08","17.34","79.56","2963","3085","48.99","1535","1697","47.49","158","193","45.01","10.29","88.63","5141","5267","49.39","2877","2939","49.47","101","103","49.51","3.51","96.50","8.68","89.93","0.986"
"5","Carolina Hurricanes","206","12504.75","120","66","20","109","260","0.631","12788","10698","54.45","9672","8213","54.08","6878","5919","53.75","635","548","53.68","661.83","545.32","54.83","6132","5177","54.22","3655","3213","53.22","518","465","52.70","14.17","85.53","2757","2340","54.09","1980","1736","53.28","357","334","51.66","18.03","80.76","3375","2837","54.33","1675","1477","53.14","161","131","55.14","9.61","91.13","5576","4559","55.02","2843","2345","54.80","95","68","58.28","3.34","97.10","9.23","90.74","1.000"
"6","Columbus Blue Jackets","208","12635.0333","98","79","31","93","227","0.546","11166","11567","49.12","8693","8642","50.15","6489","6325","50.64","570","598","48.80","525.07","519.62","50.26","5182","5326","49.31","3412","3301","50.83","450","490","47.87","13.19","85.16","2013","2077","49.22","1560","1607","49.26","279","303","47.94","17.88","81.14","3169","3249","49.38","1852","1694","52.23","171","187","47.77","9.23","88.96","5022","5267","48.81","2719","2686","50.31","100","97","50.76","3.68","96.39","8.78","90.55","0.993"
"7","Calgary Flames","208","12596.2833","112","79","17","105","241","0.579","12209","11229","52.09","9186","8583","51.70","6558","6150","51.61","648","597","52.05","586.94","527.16","52.68","5844","5487","51.58","3613","3366","51.77","535","482","52.61","14.81","85.68","2378","2143","52.60","1795","1582","53.15","352","289","54.91","19.61","81.73","3466","3344","50.90","1818","1784","50.47","183","193","48.67","10.07","89.18","5412","4872","52.63","2640","2421","52.16","98","95","50.78","3.71","96.08","9.88","90.29","1.002"
"8","Chicago Blackhawks","208","12650.6167","92","89","27","83","211","0.507","11596","12283","48.56","8549","9377","47.69","6533","7199","47.58","634","689","47.92","546.65","635.49","46.24","5718","6349","47.39","3599","4036","47.14","515","562","47.82","14.31","86.08","2222","2763","44.57","1747","2168","44.62","322","382","45.74","18.43","82.38","3496","3586","49.36","1852","1868","49.78","193","180","51.74","10.42","90.36","4998","5036","49.81","2669","2832","48.52","100","110","47.62","3.75","96.12","9.70","90.43","1.001"
"9","Colorado Avalanche","208","12590.9833","119","63","26","116","264","0.635","12532","11478","52.19","9268","8447","52.32","6870","6236","52.42","691","566","54.97","586.03","521.73","52.90","6098","5210","53.93","3719","3170","53.98","548","446","55.13","14.74","85.93","2376","2128","52.75","1779","1612","52.46","321","289","52.62","18.04","82.07","3722","3082","54.70","1940","1558","55.46","227","157","59.11","11.70","89.92","5530","5231","51.39","2857","2683","51.57","126","103","55.02","4.41","96.16","10.06","90.92","1.010"
"10","Dallas Stars","207","12589.6333","103","75","29","98","235","0.568","11584","11756","49.63","8589","8713","49.64","6335","6286","50.19","543","522","50.99","551.64","528.92","51.05","5680","5381","51.35","3446","3199","51.86","442","397","52.68","12.83","87.59","2404","2108","53.28","1787","1585","53.00","317","261","54.84","17.74","83.53","3276","3273","50.02","1659","1614","50.69","125","136","47.89","7.53","91.57","4882","5229","48.28","2510","2707","48.11","86","105","45.03","3.43","96.12","8.57","91.70","1.003"
